person_id,household_id,zone_id,market_segment_id,age_band,employment_status,language_preference,budget_headroom_score,trust_openness_score,digital_readiness_score,best_channel_reachability,retention_potential_score
person-000001-01,household-v2-000001,south_west_suburban,b2c_everyday_utility_seekers,45-54,salaried_worker,si,64.62,100.0,100.0,95.0,76.7
person-000001-02,household-v2-000001,south_west_suburban,b2c_everyday_utility_seekers,25-34,salaried_worker,si,64.62,100.0,100.0,95.0,76.7
person-000001-03,household-v2-000001,south_west_suburban,b2c_everyday_utility_seekers,0-14,student,si,64.62,100.0,100.0,95.0,76.7
person-000001-04,household-v2-000001,south_west_suburban,b2c_youth_upskilling_renters,15-24,student,si_en,64.62,100.0,100.0,95.0,81.94
person-000002-01,household-v2-000002,south_west_suburban,b2c_budget_stretched_commuters,45-54,salaried_worker,si,34.62,99.78,100.0,94.94,67.42
person-000002-02,household-v2-000002,south_west_suburban,b2c_budget_stretched_commuters,35-44,salaried_worker,si,34.62,99.78,100.0,94.94,73.97
person-000002-03,household-v2-000002,south_west_suburban,b2c_budget_stretched_commuters,0-14,student,si_en,34.62,99.78,100.0,94.94,67.42
person-000002-04,household-v2-000002,south_west_suburban,b2c_youth_upskilling_renters,15-24,entry_worker,si_en,34.62,99.78,100.0,94.94,67.42
person-000003-01,household-v2-000003,admin_professional_belt,b2c_affluent_service_optimizers,35-44,salaried_worker,si_en,100.0,100.0,100.0,95.0,87.71
person-000003-02,household-v2-000003,admin_professional_belt,b2c_affluent_service_optimizers,25-34,salaried_worker,si_en,100.0,100.0,100.0,95.0,87.71
person-000003-03,household-v2-000003,admin_professional_belt,b2c_affluent_service_optimizers,0-14,student,si,100.0,100.0,100.0,95.0,87.71
person-000004-01,household-v2-000004,outer_commuter_belt,b2c_budget_stretched_commuters,35-44,salaried_worker,ta,10.19,77.82,67.16,69.75,66.53
person-000004-02,household-v2-000004,outer_commuter_belt,b2c_budget_stretched_commuters,0-14,student,si,10.19,77.82,67.16,69.75,66.53
person-000004-03,household-v2-000004,outer_commuter_belt,b2c_youth_upskilling_renters,15-24,entry_worker,si_en,10.19,77.82,67.16,69.75,70.4
person-000004-04,household-v2-000004,outer_commuter_belt,b2c_budget_stretched_commuters,65+,salaried_worker,si,10.19,77.82,67.16,69.75,66.53
person-000005-01,household-v2-000005,south_west_suburban,b2c_budget_stretched_commuters,35-44,informal_worker,si,11.06,78.78,68.12,70.57,63.36
person-000005-02,household-v2-000005,south_west_suburban,b2c_budget_stretched_commuters,0-14,student,si,11.06,78.78,68.12,70.57,63.36
person-000005-03,household-v2-000005,south_west_suburban,b2c_budget_stretched_commuters,65+,informal_worker,ta,11.06,78.78,68.12,70.57,63.36
person-000006-01,household-v2-000006,east_growth_corridor,b2c_budget_stretched_commuters,45-54,salaried_worker,en,35.12,99.54,100.0,94.89,64.24
person-000006-02,household-v2-000006,east_growth_corridor,b2c_budget_stretched_commuters,25-34,salaried_worker,si,35.12,99.54,100.0,94.89,70.8
person-000006-03,household-v2-000006,east_growth_corridor,b2c_budget_stretched_commuters,0-14,student,si_en,35.12,99.54,100.0,94.89,64.24
person-000006-04,household-v2-000006,east_growth_corridor,b2c_youth_upskilling_renters,15-24,entry_worker,si,35.12,99.54,100.0,94.89,65.55
