archetype_id,label,base_weight,preferred_zones,household_size,adults,children,elders,income_band,education_anchor,employment_profile,language_profile,smartphone_access,internet_access,payment_readiness,mobility_profile,budget_tightness,trust_skepticism,discretionary_spend,lifestage_focus,need_jobs,need_education,need_healthcare,need_commerce,need_housing,need_mobility,need_productivity,need_finance,need_family_admin,claim_type,evidence_refs,assumption_note
salaried_urban_professionals,Salaried urban professionals,0.13,core_colombo|admin_professional_belt,3,2,1,0,250000_plus,degree_plus,formal_dual_income,en_si,personal,fixed_and_mobile,digital_ready,car_and_transit,low,medium,high,career_progression,42,48,34,36,52,58,82,40,44,INFERENCE,dcs-hies-2019|dcs-computer-literacy-2025-h1,Archetype inferred from formal Colombo white-collar households and high computer-literacy groups
lower_mid_family_commuters,Lower-middle family commuters,0.17,admin_professional_belt|east_growth_corridor|south_west_suburban,4,2,2,0,100000-149999,upper_secondary_plus,mixed_wage,si_en,personal,mobile_only,mixed,bus_commuter,high,medium,low,schooling_and_bills,68,72,46,44,60,70,38,65,78,INFERENCE,dcs-hies-2019|dcs-economic-crisis-households-2023,Archetype inferred from budget pressure and transport-heavy suburban families
informal_service_households,Informal service households,0.15,east_growth_corridor|outer_commuter_belt|south_west_suburban,4,2,1,1,50000-74999,secondary,informal_precarious,si_ta,shared,mobile_only,cash_only,bus_and_walk,very_high,high,very_low,income_stability,84,38,54,52,44,58,32,74,62,INFERENCE,dcs-hies-2019|dcs-lfs-q2-2025,Archetype inferred from urban informal work and crisis-exposed households
female_led_microcommerce,Female-led microcommerce,0.08,south_west_suburban|east_growth_corridor,3,1,1,1,75000-99999,upper_secondary_plus,self_employed_micro,si_ta_en,personal,mobile_only,mixed,local_radius,high,high,low,microbusiness_growth,72,44,48,82,40,46,58,86,68,INFERENCE,dcs-hies-2019|dcs-informal-non-agri,Archetype inferred from informal commerce and women-led household earning patterns
youth_exam_households,Youth exam households,0.11,core_colombo|admin_professional_belt|south_west_suburban,4,2,2,0,100000-149999,tertiary_track,mixed_wage,si_en,personal,fixed_and_mobile,mixed,bus_commuter,medium,medium,medium,exam_and_upskilling,76,88,30,28,34,42,52,36,46,INFERENCE,dcs-hies-2019|dcs-computer-literacy-2025-h1,Archetype inferred from school and tertiary preparation households
elder_supported_households,Elder-supported households,0.09,core_colombo|south_west_suburban|outer_commuter_belt,3,1,0,2,50000-74999,secondary,retirement_plus_support,si_ta,shared,mobile_only,cash_only,caregiver_bound,very_high,high,very_low,care_and_admin,36,22,88,24,18,20,18,42,74,INFERENCE,dcs-hies-2019|dcs-economic-crisis-households-2023,Archetype inferred from elder-heavy low-discretionary households
affluent_admin_households,Affluent admin households,0.07,admin_professional_belt|core_colombo,3,2,1,0,250000_plus,degree_plus,formal_dual_income,en_si,personal,fixed_and_mobile,digital_ready,car_and_transit,low,low,high,productivity_and_services,34,50,36,34,48,52,86,42,46,INFERENCE,dcs-hies-2019|dcs-computer-literacy-2025-h1,Archetype inferred from high-income formal service households
rental_transition_households,Rental transition households,0.07,core_colombo|east_growth_corridor|south_west_suburban,2,2,0,0,75000-99999,tertiary_or_diploma,service_single_income,si_ta_en,personal,mobile_only,mixed,transit_heavy,high,medium,low,rent_and_job_switch,78,46,28,36,84,72,54,48,34,INFERENCE,dcs-hies-2019|dcs-lfs-q2-2025,Archetype inferred from mobile renters and employment transition households
outer_belt_mixed_livelihood,Outer-belt mixed livelihood,0.08,outer_commuter_belt|east_growth_corridor,5,2,2,1,75000-99999,secondary,mixed_wage,si_ta,shared,mobile_only,cash_only,commute_heavy,very_high,high,very_low,commute_and_bills,82,40,52,50,58,78,28,70,70,INFERENCE,dcs-hies-2019|dcs-economic-crisis-households-2023,Archetype inferred from long-commute peri-urban households
tuition_and_service_households,Tuition and service households,0.05,admin_professional_belt|south_west_suburban|core_colombo,4,2,1,1,150000-249999,tertiary_or_diploma,service_plus_side_income,si_en,personal,fixed_and_mobile,digital_ready,bus_commuter,medium,medium,medium,education_and_family_admin,56,82,44,42,38,50,62,52,76,INFERENCE,dcs-hies-2019|dcs-computer-literacy-2025-h1,Archetype inferred from education-heavy upwardly mobile households
