offer_id,vendor_name,vendor_country,offer_name,target_segment,target_user_type,problem_domain,workflow_solved,input_requirements,required_device_connectivity,required_digital_maturity,pricing_model,minimum_budget_band,deployment_friction,trust_barrier,language_support,language_demands,integration_demands,regulatory_sensitivity,expected_roi_path,evidence_strength,market_side,channel_model,local_substitute_pressure,implementation_motion,notes,source_url,source_type,claim_type,retrieved_at,evidence_refs
offer-corover-conversational-ai-platform,CoRover,IN,Conversational AI Platform,hybrid,mixed,customer_support,Multilingual chat and voice assistants for customer and citizen support,knowledge_base|faq|crm,smartphone_or_desktop,medium,custom_quote,smb_medium,medium,medium,en|hi|ta,medium,medium,low,service_speed,72,both,partner_led,medium,assisted_setup,Official platform page emphasizes multilingual conversational AI and BharatGPT surfaces,https://corover.ai/products/conversational-ai-platform/,vendor_official,INFERENCE,2026-03-16T18:30:00Z,corover-offer|2026-03-offer-corpus
offer-yellow-dynamic-automation-platform,Yellow.ai,IN,Dynamic Automation Platform,b2b_enterprise,operations_team,customer_support,Omnichannel customer support and service automation,crm|knowledge_base|helpdesk,cloud_plus_crm,high,custom_quote,enterprise_high,high,medium,en|hi,medium,high,medium,cost_saving,78,b2b,enterprise_sales,high,integration_project,Enterprise automation suite with agentic support positioning,https://yellow.ai/,vendor_official,INFERENCE,2026-03-16T18:30:00Z,yellow-offer|2026-03-offer-corpus
offer-haptik-customer-experience,Haptik,IN,Customer Experience Suite,b2b_enterprise,front_office,customer_support,Customer support and commerce conversations across channels,knowledge_base|crm|whatsapp,cloud_plus_crm,high,custom_quote,enterprise_high,high,medium,en|hi,medium,high,medium,service_speed,76,b2b,enterprise_sales,high,integration_project,Official Haptik product surfaces conversational commerce and support automation,https://www.haptik.ai/,vendor_official,INFERENCE,2026-03-16T18:30:00Z,haptik-offer|2026-03-offer-corpus
offer-skit-voice-ai,Skit.ai,IN,Voice AI for Contact Centers,b2b_enterprise,operations_team,collections,Automated voice handling for support and collections,call_logs|telephony|crm,call_center_stack,high,custom_quote,enterprise_high,high,high,en|hi,low,high,medium,cost_saving,79,b2b,enterprise_sales,medium,integration_project,Official banking and collections pages emphasize voice automation ROI,https://skit.ai/in/banking/,vendor_official,INFERENCE,2026-03-16T18:30:00Z,skit-offer|2026-03-offer-corpus
offer-arya-document-ai,Arya.ai,IN,Document Intelligence,b2b_enterprise,operations_team,document_admin,Underwriting KYC and document extraction workflows,documents|forms|historical_data,desktop_required,high,custom_quote,enterprise_high,high,high,en,low,high,high,risk_reduction,82,b2b,enterprise_sales,medium,integration_project,Official Arya.ai site emphasizes BFSI document and risk workflows,https://arya.ai/,vendor_official,INFERENCE,2026-03-16T18:30:00Z,aryai-offer|2026-03-offer-corpus
offer-leena-ai-agentic-helpdesk,Leena AI,IN,Agentic AI Helpdesk,b2b_enterprise,employee,hr_internal,Employee support and internal ticket automation,knowledge_base|hris|ticket_history,desktop_required,high,custom_quote,enterprise_high,medium,medium,en,low,high,medium,cost_saving,75,b2b,enterprise_sales,medium,integration_project,Official Leena AI positioning centers employee service and IT-HR helpdesk automation,https://leena.ai/,vendor_official,INFERENCE,2026-03-16T18:30:00Z,leena-offer|2026-03-offer-corpus
offer-engati-conversational-ai,Engati,IN,Conversational AI Platform,b2b_sme,front_office,customer_support,Chat automation for sales support and FAQ handling,faq|lead_forms|whatsapp,smartphone_or_desktop,medium,subscription,smb_low,medium,medium,en|hi,medium,medium,low,revenue_uplift,68,b2b,inside_sales,high,assisted_setup,Engati provides SMB-reachable chatbot and support automation surfaces,https://www.engati.com/,vendor_official,INFERENCE,2026-03-16T18:30:00Z,engati-offer|2026-03-offer-corpus
offer-verloop-support-automation,Verloop.io,IN,Support Automation,b2b_sme,front_office,customer_support,AI support across WhatsApp web and app channels,faq|crm|chat_history,cloud_plus_crm,medium,custom_quote,smb_medium,medium,medium,en,medium,medium,low,service_speed,70,b2b,inside_sales,high,assisted_setup,Verloop official product focuses support automation and conversational workflows,https://www.verloop.io/,vendor_official,INFERENCE,2026-03-16T18:30:00Z,verloop-offer|2026-03-offer-corpus
offer-ameyo-contact-center-ai,Ameyo,IN,Contact Center AI,b2b_sme,operations_team,customer_support,Voice and chat support workflow automation,telephony|crm,call_center_stack,medium,custom_quote,smb_medium,medium,medium,en,low,medium,medium,cost_saving,69,b2b,inside_sales,medium,assisted_setup,Official Ameyo surfaces AI contact-center workflows for support teams,https://www.ameyo.com/,vendor_official,INFERENCE,2026-03-16T18:30:00Z,ameyo-offer|2026-03-offer-corpus
offer-infeedo-employee-experience,Infeedo,IN,Employee Experience AI,b2b_enterprise,employee,hr_internal,Employee listening and HR query handling,hris|employee_feedback,desktop_required,high,custom_quote,enterprise_high,medium,medium,en,low,high,medium,cost_saving,67,b2b,enterprise_sales,medium,integration_project,Infeedo emphasizes employee engagement and HR automation,https://www.infeedo.ai/,vendor_official,INFERENCE,2026-03-16T18:30:00Z,infeedo-offer|2026-03-offer-corpus
offer-embibe-personalized-learning,Embibe,IN,Personalized Learning Platform,hybrid,consumer_end_user,education_tutoring,Adaptive tutoring practice and learning support,student_profile|content_library,smartphone_or_desktop,low,subscription,consumer_low,low,medium,en|hi,medium,low,low,learning_outcome,73,both,self_serve,medium,plug_and_play,Embibe public positioning centers adaptive learning and test preparation,https://www.embibe.com/,vendor_official,INFERENCE,2026-03-16T18:30:00Z,embibe-offer|2026-03-offer-corpus
offer-wysa-mental-health,Wysa,IN,AI Mental Health Coach,b2c,consumer_end_user,mental_wellbeing,Conversational mental wellness support and self-guided coaching,self_profile,smartphone_only,low,subscription,consumer_low,low,high,en,low,low,medium,wellbeing_outcome,71,b2c,self_serve,medium,plug_and_play,Official Wysa product centers conversational mental health support,https://www.wysa.com/,vendor_official,INFERENCE,2026-03-16T18:30:00Z,wysa-offer|2026-03-offer-corpus
offer-fasal-farm-advisory,Fasal,IN,Fasal Precision Farming AI,b2b_sme,business_buyer,ops_scheduling,Sensor and advisory support for farm operations,sensors|field_data,smartphone_or_desktop,medium,subscription,smb_medium,high,medium,en|hi,medium,medium,low,yield_gain,64,b2b,partner_led,low,integration_project,Included as a deliberately weak urban-fit control from an official agri-AI product page,https://fasal.co/,vendor_official,INFERENCE,2026-03-16T18:30:00Z,fasal-offer|2026-03-offer-corpus
offer-niramai-screening-ai,NIRAMAI,IN,Thermal Screening AI,b2b_enterprise,operations_team,healthcare_screening,Screening workflow augmentation for clinics and hospitals,imaging_data|clinical_workflow,desktop_required,high,custom_quote,enterprise_high,high,high,en,low,high,high,risk_reduction,74,b2b,enterprise_sales,low,integration_project,NIRAMAI official product focuses AI-assisted screening workflows,https://www.niramai.com/,vendor_official,INFERENCE,2026-03-16T18:30:00Z,niramai-offer|2026-03-offer-corpus
