offer_id,vendor_name,vendor_country,offer_name,source_url,source_type,claim_type,retrieved_at,evidence_refs,offer_kind,market_side,target_market,target_user_type,problem_domain,workflow_solved,input_requirements,required_device_connectivity,required_digital_maturity,pricing_model,pricing_visibility,minimum_budget_band,minimum_budget_lkr,implementation_friction,onboarding_burden,trust_barrier,language_support,language_demands,integration_demands,regulatory_sensitivity,expected_roi_path,roi_visibility,evidence_strength,channel_model,substitute_cluster,support_burden,vendor_durability,deployability,notes
offer-corover-conversational-ai-platform,CoRover,IN,Conversational AI Platform,https://corover.ai/products/conversational-ai-platform/,vendor_official,INFERENCE,2026-03-17T04:05:00Z,corover-offer|prompt03-offer-refresh,candidate,both,hybrid,mixed,customer_support,multilingual chat and voice assistants,knowledge_base|faq|crm,smartphone_or_desktop,medium,custom_quote,low_visibility,smb_medium,150000,medium,medium,medium,en|hi|ta,medium,medium,low,service_speed,medium,76,partner_led,support_automation,medium,medium,assisted_setup,Official product page supports multilingual support positioning
offer-yellow-dynamic-automation-platform,Yellow.ai,IN,Dynamic Automation Platform,https://yellow.ai/,vendor_official,INFERENCE,2026-03-17T04:05:00Z,yellow-offer|prompt03-offer-refresh,candidate,b2b,enterprise,operations_team,customer_support,omnichannel service automation,crm|knowledge_base|helpdesk,cloud_plus_crm,high,custom_quote,low_visibility,enterprise_high,500000,high,high,medium,en|hi,medium,high,medium,cost_saving,medium,79,enterprise_sales,support_automation,medium,high,integration_project,Enterprise support automation suite
offer-haptik-customer-experience,Haptik,IN,Customer Experience Suite,https://www.haptik.ai/,vendor_official,INFERENCE,2026-03-17T04:05:00Z,haptik-offer|prompt03-offer-refresh,candidate,b2b,enterprise,front_office,customer_support,customer support and commerce conversations,knowledge_base|crm|whatsapp,cloud_plus_crm,high,custom_quote,low_visibility,enterprise_high,450000,high,medium,medium,en|hi,medium,high,medium,service_speed,medium,77,enterprise_sales,support_automation,medium,high,integration_project,Enterprise support and commerce assistant
offer-skit-voice-ai,Skit.ai,IN,Voice AI for Contact Centers,https://skit.ai/in/banking/,vendor_official,INFERENCE,2026-03-17T04:05:00Z,skit-offer|prompt03-offer-refresh,candidate,b2b,enterprise,operations_team,collections,automated voice support and collections,call_logs|telephony|crm,call_center_stack,high,custom_quote,low_visibility,enterprise_high,500000,high,high,high,en|hi,low,high,medium,cost_saving,high,80,enterprise_sales,collections_voice,high,high,integration_project,Voice AI with banking and collections positioning
offer-arya-document-ai,Arya.ai,IN,Document Intelligence,https://arya.ai/,vendor_official,INFERENCE,2026-03-17T04:05:00Z,aryai-offer|prompt03-offer-refresh,candidate,b2b,enterprise,operations_team,document_admin,kyc underwriting and document extraction,documents|forms|historical_data,desktop_required,high,custom_quote,low_visibility,enterprise_high,600000,high,high,high,en,low,high,high,risk_reduction,high,83,enterprise_sales,document_intelligence,high,medium,integration_project,Document AI with BFSI positioning
offer-leena-ai-agentic-helpdesk,Leena AI,IN,Agentic AI Helpdesk,https://leena.ai/,vendor_official,INFERENCE,2026-03-17T04:05:00Z,leena-offer|prompt03-offer-refresh,candidate,b2b,enterprise,employee,hr_internal,employee support and internal ticket automation,knowledge_base|hris|ticket_history,desktop_required,high,custom_quote,low_visibility,enterprise_high,450000,medium,medium,medium,en,low,high,medium,cost_saving,medium,76,enterprise_sales,employee_service,medium,medium,integration_project,Employee service automation
offer-engati-conversational-ai,Engati,IN,Conversational AI Platform,https://www.engati.com/,vendor_official,INFERENCE,2026-03-17T04:05:00Z,engati-offer|prompt03-offer-refresh,candidate,b2b,smb,front_office,customer_support,chat automation for support and lead capture,faq|lead_forms|whatsapp,smartphone_or_desktop,medium,subscription,medium_visibility,smb_low,75000,medium,medium,medium,en|hi,medium,medium,low,revenue_uplift,medium,71,inside_sales,support_automation,medium,medium,assisted_setup,SMB-friendly chatbot platform
offer-verloop-support-automation,Verloop.io,IN,Support Automation,https://www.verloop.io/,vendor_official,INFERENCE,2026-03-17T04:05:00Z,verloop-offer|prompt03-offer-refresh,candidate,b2b,smb,front_office,customer_support,AI support across web app and WhatsApp,faq|crm|chat_history,cloud_plus_crm,medium,custom_quote,low_visibility,smb_medium,125000,medium,medium,medium,en,medium,medium,low,service_speed,medium,72,inside_sales,support_automation,medium,medium,assisted_setup,Support automation suite for service teams
offer-ameyo-contact-center-ai,Ameyo,IN,Contact Center AI,https://www.ameyo.com/,vendor_official,INFERENCE,2026-03-17T04:05:00Z,ameyo-offer|prompt03-offer-refresh,candidate,b2b,smb,operations_team,customer_support,voice and chat workflow automation,telephony|crm,call_center_stack,medium,custom_quote,low_visibility,smb_medium,150000,medium,medium,medium,en,low,medium,medium,cost_saving,medium,71,inside_sales,support_automation,medium,medium,assisted_setup,Contact-center AI for mid-market teams
offer-infeedo-employee-experience,Infeedo,IN,Employee Experience AI,https://www.infeedo.ai/,vendor_official,INFERENCE,2026-03-17T04:05:00Z,infeedo-offer|prompt03-offer-refresh,candidate,b2b,enterprise,employee,hr_internal,employee listening and HR support,hris|employee_feedback,desktop_required,high,custom_quote,low_visibility,enterprise_high,400000,medium,medium,medium,en,low,high,medium,cost_saving,medium,68,enterprise_sales,employee_service,medium,medium,integration_project,Employee engagement AI
