scenario_id,rank,offer_id,vendor_name,offer_name,problem_domain,market_side,offer_kind,final_score,b2c_score,b2b_score,dominant_market,top_b2c_segment,top_b2b_segment,quality_score
colombo_b2c_base,1,offer-wysa-mental-health,Wysa,AI Mental Health Coach,mental_wellbeing,b2c,candidate,61.13,61.13,0.0,b2c,b2c_affluent_service_optimizers,,63.6
colombo_b2c_base,2,offer-embibe-personalized-learning,Embibe,Personalized Learning Platform,education_tutoring,both,candidate,61.06,61.06,59.47,b2c,b2c_affluent_service_optimizers,b2b_knowledge_and_admin_smes,65.5
colombo_b2c_base,3,offer-corover-conversational-ai-platform,CoRover,Conversational AI Platform,customer_support,both,candidate,52.74,52.74,51.85,b2c,b2c_affluent_service_optimizers,b2b_knowledge_and_admin_smes,59.2
colombo_b2b_base,1,offer-embibe-personalized-learning,Embibe,Personalized Learning Platform,education_tutoring,both,candidate,59.47,61.06,59.47,b2b,b2c_affluent_service_optimizers,b2b_knowledge_and_admin_smes,65.5
colombo_b2b_base,2,offer-engati-conversational-ai,Engati,Conversational AI Platform,customer_support,b2b,candidate,56.71,0.0,56.71,b2b,,b2b_knowledge_and_admin_smes,60.1
colombo_b2b_base,3,offer-ameyo-contact-center-ai,Ameyo,Contact Center AI,customer_support,b2b,candidate,52.94,0.0,52.94,b2b,,b2b_knowledge_and_admin_smes,57.7
colombo_b2b_base,4,offer-verloop-support-automation,Verloop.io,Support Automation,customer_support,b2b,candidate,52.31,0.0,52.31,b2b,,b2b_knowledge_and_admin_smes,58.0
colombo_b2b_base,5,offer-zoho-zia,Zoho,Zia for Business,analytics,b2b,candidate,52.17,0.0,52.17,b2b,,b2b_knowledge_and_admin_smes,63.2
colombo_b2b_base,6,offer-gupshup-conversational-ai,Gupshup,Conversation Cloud,customer_support,b2b,candidate,52.01,0.0,52.01,b2b,,b2b_knowledge_and_admin_smes,60.8
colombo_b2b_base,7,offer-fasal-farm-advisory,Fasal,Fasal Precision Farming AI,ops_scheduling,b2b,candidate,51.95,0.0,51.95,b2b,,b2b_knowledge_and_admin_smes,53.0
colombo_b2b_base,8,offer-corover-conversational-ai-platform,CoRover,Conversational AI Platform,customer_support,both,candidate,51.85,52.74,51.85,b2b,b2c_affluent_service_optimizers,b2b_knowledge_and_admin_smes,59.2
colombo_b2b_base,9,offer-rephrase-personalized-video,Rephrase.ai,Personalized Video AI,sales_marketing,b2b,candidate,51.09,0.0,51.09,b2b,,b2b_knowledge_and_admin_smes,57.1
colombo_b2b_base,10,offer-arya-document-ai,Arya.ai,Document Intelligence,document_admin,b2b,candidate,49.07,0.0,49.07,b2b,,b2b_knowledge_and_admin_smes,57.5
mixed_market_base,1,offer-embibe-personalized-learning,Embibe,Personalized Learning Platform,education_tutoring,both,candidate,60.19,61.06,59.47,mixed,b2c_affluent_service_optimizers,b2b_knowledge_and_admin_smes,65.5
mixed_market_base,2,offer-corover-conversational-ai-platform,CoRover,Conversational AI Platform,customer_support,both,candidate,52.25,52.74,51.85,mixed,b2c_affluent_service_optimizers,b2b_knowledge_and_admin_smes,59.2
mixed_market_base,3,offer-engati-conversational-ai,Engati,Conversational AI Platform,customer_support,b2b,candidate,31.19,0.0,56.71,mixed,,b2b_knowledge_and_admin_smes,60.1
mixed_market_base,4,offer-ameyo-contact-center-ai,Ameyo,Contact Center AI,customer_support,b2b,candidate,29.12,0.0,52.94,mixed,,b2b_knowledge_and_admin_smes,57.7
mixed_market_base,5,offer-verloop-support-automation,Verloop.io,Support Automation,customer_support,b2b,candidate,28.77,0.0,52.31,mixed,,b2b_knowledge_and_admin_smes,58.0
mixed_market_base,6,offer-zoho-zia,Zoho,Zia for Business,analytics,b2b,candidate,28.69,0.0,52.17,mixed,,b2b_knowledge_and_admin_smes,63.2
mixed_market_base,7,offer-gupshup-conversational-ai,Gupshup,Conversation Cloud,customer_support,b2b,candidate,28.61,0.0,52.01,mixed,,b2b_knowledge_and_admin_smes,60.8
mixed_market_base,8,offer-fasal-farm-advisory,Fasal,Fasal Precision Farming AI,ops_scheduling,b2b,candidate,28.57,0.0,51.95,mixed,,b2b_knowledge_and_admin_smes,53.0
mixed_market_base,9,offer-rephrase-personalized-video,Rephrase.ai,Personalized Video AI,sales_marketing,b2b,candidate,28.1,0.0,51.09,mixed,,b2b_knowledge_and_admin_smes,57.1
mixed_market_base,10,offer-wysa-mental-health,Wysa,AI Mental Health Coach,mental_wellbeing,b2c,candidate,27.51,61.13,0.0,mixed,b2c_affluent_service_optimizers,,63.6
